Rk,Team,Overall,Home,Road,W,≤3,≥10,L,W%,HW,HL,HW%,RW,RL,RW%,Season
1,PHO,62-20,31-10,31-10,62,7-2,36-8,20,0.7560975609756098,31,10,0.7560975609756098,31,10,0.7560975609756098,2005
2,MIA,59-23,35-6,24-17,59,7-8,33-6,23,0.7195121951219512,35,6,0.8536585365853658,24,17,0.5853658536585366,2005
3,SAS,59-23,38-3,21-20,59,9-7,40-5,23,0.7195121951219512,38,3,0.926829268292683,21,20,0.5121951219512195,2005
4,DAL,58-24,29-12,29-12,58,8-4,28-10,24,0.7073170731707317,29,12,0.7073170731707317,29,12,0.7073170731707317,2005
5,DET,54-28,32-9,22-19,54,8-8,26-14,28,0.6585365853658537,32,9,0.7804878048780488,22,19,0.5365853658536586,2005
6,OKC,52-30,26-15,26-15,52,7-5,25-15,30,0.6341463414634146,26,15,0.6341463414634146,26,15,0.6341463414634146,2005
7,HOU,51-31,26-15,25-16,51,12-6,28-11,31,0.6219512195121951,26,15,0.6341463414634146,25,16,0.6097560975609756,2005
8,SAC,50-32,30-11,20-21,50,10-7,20-15,32,0.6097560975609756,30,11,0.7317073170731707,20,21,0.4878048780487805,2005
9,DEN,49-33,31-10,18-23,49,8-4,25-18,33,0.5975609756097561,31,10,0.7560975609756098,18,23,0.43902439024390244,2005
10,CHI,47-35,27-14,20-21,47,7-5,15-15,35,0.573170731707317,27,14,0.6585365853658537,20,21,0.4878048780487805,2005
11,BOS,45-37,27-14,18-23,45,11-7,16-14,37,0.5487804878048781,27,14,0.6585365853658537,18,23,0.43902439024390244,2005
12,MEM,45-37,26-15,19-22,45,7-11,23-12,37,0.5487804878048781,26,15,0.6341463414634146,19,22,0.4634146341463415,2005
13,WAS,45-37,29-12,16-25,45,14-6,16-16,37,0.5487804878048781,29,12,0.7073170731707317,16,25,0.3902439024390244,2005
14,IND,44-38,25-16,19-22,44,9-9,18-12,38,0.5365853658536586,25,16,0.6097560975609756,19,22,0.4634146341463415,2005
15,MIN,44-38,24-17,20-21,44,5-6,16-15,38,0.5365853658536586,24,17,0.5853658536585366,20,21,0.4878048780487805,2005
16,PHI,43-39,25-16,18-23,43,10-4,13-15,39,0.524390243902439,25,16,0.6097560975609756,18,23,0.43902439024390244,2005
17,BRK,42-40,24-17,18-23,42,7-4,19-26,40,0.5121951219512195,24,17,0.5853658536585366,18,23,0.43902439024390244,2005
18,CLE,42-40,29-12,13-28,42,4-5,27-20,40,0.5121951219512195,29,12,0.7073170731707317,13,28,0.3170731707317073,2005
19,LAC,37-45,27-14,10-31,37,4-13,15-19,45,0.45121951219512196,27,14,0.6585365853658537,10,31,0.24390243902439024,2005
20,ORL,36-46,24-17,12-29,36,10-5,10-22,46,0.43902439024390244,24,17,0.5853658536585366,12,29,0.2926829268292683,2005
21,GSW,34-48,20-21,14-27,34,4-10,14-22,48,0.4146341463414634,20,21,0.4878048780487805,14,27,0.34146341463414637,2005
22,LAL,34-48,22-19,12-29,34,6-10,11-23,48,0.4146341463414634,22,19,0.5365853658536586,12,29,0.2926829268292683,2005
23,NYK,33-49,22-19,11-30,33,9-11,13-17,49,0.4024390243902439,22,19,0.5365853658536586,11,30,0.2682926829268293,2005
24,TOR,33-49,22-19,11-30,33,6-9,16-21,49,0.4024390243902439,22,19,0.5365853658536586,11,30,0.2682926829268293,2005
25,MIL,30-52,23-18,7-34,30,8-8,10-21,52,0.36585365853658536,23,18,0.5609756097560976,7,34,0.17073170731707318,2005
26,POR,27-55,18-23,9-32,27,8-5,9-21,55,0.32926829268292684,18,23,0.43902439024390244,9,32,0.21951219512195122,2005
27,UTA,26-56,18-23,8-33,26,6-10,13-31,56,0.3170731707317073,18,23,0.43902439024390244,8,33,0.1951219512195122,2005
28,CHO,18-64,14-27,4-37,18,5-16,6-29,64,0.21951219512195122,14,27,0.34146341463414637,4,37,0.0975609756097561,2005
29,NOP,18-64,11-30,7-34,18,6-11,3-31,64,0.21951219512195122,11,30,0.2682926829268293,7,34,0.17073170731707318,2005
30,ATL,13-69,9-32,4-37,13,2-8,3-43,69,0.15853658536585366,9,32,0.21951219512195122,4,37,0.0975609756097561,2005
1,DET,64-18,37-4,27-14,64,7-4,32-8,18,0.7804878048780488,37,4,0.9024390243902439,27,14,0.6585365853658537,2006
2,SAS,63-19,34-7,29-12,63,10-2,31-11,19,0.7682926829268293,34,7,0.8292682926829268,29,12,0.7073170731707317,2006
3,DAL,60-22,34-7,26-15,60,11-6,28-10,22,0.7317073170731707,34,7,0.8292682926829268,26,15,0.6341463414634146,2006
4,PHO,54-28,31-10,23-18,54,0-7,34-9,28,0.6585365853658537,31,10,0.7560975609756098,23,18,0.5609756097560976,2006
